"season","periods__names__001","periods__names__002","periods__scores__001","periods__scores__002"
"","Sentenced to 18 to Life","Brown Town Clowns","88.7","111.9"
"","Dirty Dick Dave","Dirty Sanchez","104.2","45.6"
"","Bergers and Johnsons","Diddlers on the roof","149.4","76.8"
"","Black Juliet's","Meadville Militia","88.9","119.5"
"","Diddlers on the roof","Please Trade Shady","102.1","74.1"
"","Dirty Dick Dave","Sentenced to 18 to Life","138.3","86.3"
"","Brown Town Clowns","Bergers and Johnsons","101.3","99.4"
"","Dirty Sanchez","Black Juliet's","77.8","112.8"
"","Meadville Militia","The Little Giants","98.4","71.1"
"","Please Trade Shady","Brown Town Clowns","110.3","102.2"
"","Sentenced to 18 to Life","Bergers and Johnsons","98.3","85.2"
"","Black Juliet's","Dirty Dick Dave","77.2","92.5"
"","The Little Giants","Dirty Sanchez","94.9","36.5"
"","Meadville Militia","Diddlers on the roof","120.2","122.1"
"","Bergers and Johnsons","Please Trade Shady","131.1","89.8"
"","Black Juliet's","Sentenced to 18 to Life","98.9","55.5"
"","Dirty Dick Dave","The Little Giants","110.0","84.1"
"","Brown Town Clowns","Meadville Militia","94.1","111.9"
"","Dirty Sanchez","Diddlers on the roof","106.8","93.1"
"2018","JoshAllenBrown Town Clowns","Dirty Dick Dave","107.2","114.2"
"","Team Trosch","Medical Malpractice","130.8","78.1"
"","Diddlers on the Roof","The Little Giants","104.5","111.4"
"","Brown Town Clowns","Team Shernisky","69.3","87.6"
"","Black Juliet's","Meadville Militia","77.6","65.6"
"","The Brady Bunch","Big Dick Nick","128.8","111.4"
"","Team Girth Brooks","The Waiver Wire","89.5","99.8"
"","The Little Giants","JoshAllenBrown Town Clowns","103.6","134.0"
"","Diddlers on the Roof","Team Trosch","123.3","78.9"
"","Medical Malpractice","Brown Town Clowns","98.1","109.0"
"","Team Shernisky","Black Juliet's","76.5","79.5"
"","Dirty Dick Dave","The Brady Bunch","68.3","88.9"
"","Meadville Militia","Team Girth Brooks","107.5","64.2"
"","Big Dick Nick","The Waiver Wire","72.7","98.4"
